transaction_id,timestamp,account_id,transaction_type,channel,amount,transaction_state,device_id,device_trusted,merchant_category,merchant_id,is_suspicious_simulated,suspicious_pattern,customer_age,home_state,monthly_income,account_age_days,typical_amount,customer_segment,customer_amount_mean,customer_amount_std,customer_amount_median,amount_zscore,transactions_1h,transactions_24h,hour,day_of_week,month,location_mismatch,rule_amount_zscore,rule_high_value,rule_velocity_1h,rule_unusual_hour,rule_new_device_location,rule_round_amount,rule_structuring,risk_score,alert_flag,risk_level,triggered_rules
TX-0048134,2025-06-14 02:09:03,ACC-01730,PIX,App,18492.37,BA,NEW-9444849,0,Outros,MER-0452,1,Valor atipico,18,PR,12015.94,690,1678.26,Varejo,2605.885454545454,3812.790493026294,1759.2,4.166629290151502,1,1,2,Saturday,2025-06,1,1,1,0,1,1,0,0,95,1,Critico,amount_zscore; high_value; unusual_hour; new_device_location
TX-0005640,2025-12-30 23:04:00,ACC-00421,PIX,Internet Banking,1206.06,PR,DEV-00421-A,0,Viagem,MER-0072,1,Alta velocidade,39,PE,2445.79,1601,195.1,Digital,286.2428,254.36721874290325,224.73,3.616099608061868,5,5,23,Tuesday,2025-12,1,1,0,1,0,1,0,0,80,1,Critico,amount_zscore; velocity_1h; new_device_location
TX-0044666,2025-08-12 09:02:00,ACC-01710,Saque,ATM,2493.85,RJ,DEV-01710-A,0,Mercado,MER-0297,1,Alta velocidade,75,BA,2603.27,1124,296.63,Varejo,435.60450000000003,530.4377850762321,309.38,3.8802769295633763,3,3,9,Tuesday,2025-08,1,1,0,1,0,1,0,0,80,1,Critico,amount_zscore; velocity_1h; new_device_location
TX-0012225,2025-09-19 08:52:36,ACC-01878,Cartao,E-commerce,15500.0,RS,NEW-1291673,0,Outros,MER-0977,1,Valor atipico,55,BA,1486.22,4034,157.54,Varejo,897.1304761904763,3347.9609947376566,139.25,4.361720326718977,1,1,8,Friday,2025-09,1,1,1,0,0,1,0,0,75,1,Critico,amount_zscore; high_value; new_device_location
TX-0041173,2025-11-28 01:59:00,ACC-01566,PIX,App,15500.0,BA,DEV-01566-A,1,Mercado,MER-0520,1,Valor atipico,71,BA,1019.21,3880,72.11,Empresarial,781.4709090909091,3287.7839461803205,74.88,4.476732453179831,1,1,1,Friday,2025-11,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0034182,2025-10-24 04:43:59,ACC-00369,Cartao,E-commerce,15500.0,MG,DEV-00369-A,1,Restaurante,MER-0862,1,Valor atipico,34,MG,1515.27,3177,78.63,Varejo,780.080909090909,3288.2220764229605,65.255,4.476558683932296,1,1,4,Friday,2025-10,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0027108,2025-09-25 04:52:25,ACC-00907,Cartao,POS,15500.0,DF,DEV-00907-A,1,Viagem,MER-0557,1,Valor atipico,36,DF,7828.85,38,341.58,Alta renda,948.1525,3103.320714379651,285.28999999999996,4.689121376521631,1,1,4,Thursday,2025-09,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0029825,2025-07-30 03:23:22,ACC-00721,Cartao,POS,15500.0,SC,DEV-00721-A,1,Restaurante,MER-0058,1,Valor atipico,48,SC,1736.06,958,218.47,Varejo,949.555909090909,3253.0945103007894,250.515,4.472800911512319,1,1,3,Wednesday,2025-07,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0036825,2025-04-26 02:18:02,ACC-01480,Cartao,POS,15500.0,SP,NEW-2419331,0,Servicos,MER-1010,1,Valor atipico,56,SP,6136.37,2434,420.73,Varejo,1289.9282352941175,3665.6149257120474,380.68,3.876586071556758,1,1,2,Saturday,2025-04,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0020105,2025-01-02 03:39:32,ACC-01455,Cartao,Carteira digital,15500.0,RJ,DEV-01455-A,1,Transporte,MER-0925,1,Valor atipico,43,RJ,4460.38,2534,437.67,Varejo,1092.8095238095239,3306.1456887113673,338.02,4.357699821088632,1,1,3,Thursday,2025-01,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0034606,2025-05-05 03:13:53,ACC-01471,PIX,App,15500.0,SP,DEV-01471-A,1,Eletronicos,MER-1053,1,Valor atipico,39,SP,979.74,3918,35.0,Alta renda,674.5733333333334,3157.868491213195,28.700000000000003,4.694757463117475,1,1,3,Monday,2025-05,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0047628,2025-03-21 01:19:21,ACC-00805,Cartao,POS,15500.0,BA,DEV-00805-A,1,Restaurante,MER-0034,1,Valor atipico,74,BA,5899.23,1664,465.71,Alta renda,1464.1563636363637,2832.3127937626105,422.73,4.955612129872703,1,1,1,Friday,2025-03,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0017628,2025-10-17 04:25:37,ACC-01377,Saque,ATM,15500.0,SP,DEV-01377-A,1,Eletronicos,MER-0771,1,Valor atipico,34,SP,2041.88,3918,293.31,Digital,1367.521875,3775.0530187821537,416.845,3.7436502360857413,1,1,4,Friday,2025-10,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0018974,2025-02-04 00:32:09,ACC-01973,PIX,App,15500.0,GO,DEV-01973-A,1,Mercado,MER-0992,1,Valor atipico,53,GO,3031.4,3328,121.46,Alta renda,863.5513636363637,3271.6105266778745,125.715,4.4737747714811515,1,1,0,Tuesday,2025-02,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0010293,2025-06-17 00:56:44,ACC-01045,Transferencia,Internet Banking,15500.0,SP,DEV-01045-A,1,Servicos,MER-0846,1,Valor atipico,60,SP,7276.99,2594,771.5,Varejo,1783.8552941176472,3613.1221771916285,770.85,3.7962028498420444,1,1,0,Tuesday,2025-06,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0031403,2025-05-28 01:04:55,ACC-00554,Boleto,Internet Banking,15500.0,SP,DEV-00554-A,1,Transporte,MER-0314,1,Valor atipico,26,SP,1464.33,77,95.68,Varejo,1073.904375,3847.581275553026,109.53,3.7493933439850435,1,2,1,Wednesday,2025-05,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0011272,2025-05-31 04:39:53,ACC-01387,PIX,Internet Banking,15500.0,GO,DEV-01387-A,1,Eletronicos,MER-0065,1,Valor atipico,49,GO,6170.01,1514,674.07,Varejo,1364.687894736842,3445.6167561242514,409.69,4.102404041348767,1,1,4,Saturday,2025-05,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0048205,2025-12-26 04:23:54,ACC-02258,Cartao,POS,15500.0,SP,DEV-02258-A,1,Eletronicos,MER-0332,1,Valor atipico,58,SP,4324.37,1214,553.37,Varejo,1365.0378947368422,3450.7827319731696,428.45,4.0961611330368335,1,1,4,Friday,2025-12,0,1,1,0,1,0,0,0,70,1,Critico,amount_zscore; high_value; unusual_hour
TX-0045530,2025-05-20 16:27:48,ACC-00441,Cartao,E-commerce,18000.0,BA,NEW-6256445,0,Restaurante,MER-1137,0,Normal,21,BA,13285.19,2156,1962.46,Digital,3411.840588235294,4156.739944572655,2121.12,3.509519384490742,1,1,16,Tuesday,2025-05,0,1,1,0,0,0,1,0,60,1,Critico,amount_zscore; high_value; round_amount
TX-0037493,2025-03-26 12:00:00,ACC-01128,PIX,App,3000.0,MG,NEW-4935309,0,Outros,MER-0381,1,Fracionamento,71,BA,5945.38,469,487.48,Varejo,1175.8627586206896,1379.4397125409193,603.55,1.322375472299011,2,3,12,Wednesday,2025-03,1,0,0,0,0,1,1,1,55,1,Critico,new_device_location; round_amount; structuring
TX-0024994,2025-01-08 08:03:00,ACC-01221,Cartao,E-commerce,1695.77,SP,DEV-01221-A,1,Outros,MER-0527,1,Alta velocidade,22,PR,4487.41,342,245.99,Empresarial,323.29703703703706,321.6700417510372,285.21,4.266710556854452,4,4,8,Wednesday,2025-01,1,1,0,1,0,0,0,0,55,1,Critico,amount_zscore; velocity_1h
TX-0043435,2025-10-29 15:06:32,ACC-01875,Cartao,E-commerce,2841.05,SP,NEW-7846704,0,Eletronicos,MER-1098,0,Normal,72,RS,2763.77,4002,207.68,Alta renda,333.8488888888889,638.2156692629934,182.225,3.92845433269667,1,1,15,Wednesday,2025-10,1,1,0,0,0,1,0,0,55,1,Critico,amount_zscore; new_device_location
TX-0040670,2025-12-31 19:03:00,ACC-01375,PIX,Internet Banking,1560.6,RJ,DEV-01375-A,1,Outros,MER-0049,1,Alta velocidade,22,BA,2085.49,388,65.12,Varejo,200.17624999999998,342.0595702227585,80.225,3.977154473748695,4,4,19,Wednesday,2025-12,1,1,0,1,0,0,0,0,55,1,Critico,amount_zscore; velocity_1h
