month,transactions,alerts,suspicious_simulated,monitored_amount,alert_amount,alert_rate
2025-01,4219,188,171,3021301.53,990997.3,0.04456032235126807
2025-02,3876,165,145,2653697.99,812756.3899999999,0.04256965944272446
2025-03,4203,183,149,2765390.48,809112.06,0.04354032833690221
2025-04,4065,191,167,2744969.61,786365.6299999999,0.04698646986469865
2025-05,4179,191,170,2930312.94,1005502.16,0.04570471404642259
2025-06,4133,160,135,2842649.2,871251.21,0.03871279941930801
2025-07,4285,207,196,2820426.08,780579.9299999999,0.04830805134189031
2025-08,4327,200,181,2974864.98,920113.5800000001,0.04622140050843541
2025-09,4170,211,188,2997981.39,950325.77,0.050599520383693045
2025-10,4233,191,163,2909837.12,896998.5900000001,0.04512166312308056
2025-11,4178,176,181,2776876.93,750398.1799999999,0.0421254188606989
2025-12,4132,180,154,2717376.04,750466.45,0.04356243949661181
