account_id,customer_age,home_state,monthly_income,account_age_days,typical_amount,customer_segment
ACC-00001,75,RJ,2285.8,3887,206.99,Varejo
ACC-00002,70,MG,4475.49,94,164.93,Alta renda
ACC-00003,52,PR,1115.87,3883,135.89,Varejo
ACC-00004,72,SP,9482.96,3025,1408.01,Varejo
ACC-00005,36,SP,5795.82,2771,854.19,Empresarial
ACC-00006,50,SP,3165.83,437,330.9,Digital
ACC-00007,58,PR,3125.14,4996,167.6,Varejo
ACC-00008,76,BA,4663.37,3717,121.96,Digital
ACC-00009,40,SP,3216.41,4444,316.64,Varejo
ACC-00010,37,RS,3304.89,533,193.12,Empresarial
ACC-00011,48,SP,6112.21,3043,391.21,Digital
ACC-00012,54,MG,5348.43,592,613.95,Varejo
ACC-00013,40,SC,3671.36,1302,152.7,Varejo
ACC-00014,35,PR,3620.76,4564,384.7,Varejo
ACC-00015,25,BA,4249.67,1912,534.41,Varejo
ACC-00016,21,SP,2568.01,3265,76.14,Empresarial
ACC-00017,23,RJ,2944.11,2535,296.4,Varejo
ACC-00018,23,PE,5466.36,2541,669.17,Varejo
ACC-00019,41,SP,3516.38,56,293.54,Digital
ACC-00020,18,BA,1566.54,2813,102.92,Varejo
ACC-00021,66,SP,2806.71,3459,129.46,Alta renda
ACC-00022,23,MG,5865.27,1573,903.13,Digital
ACC-00023,77,MG,3291.23,75,263.24,Varejo
ACC-00024,77,RJ,3474.91,1919,178.49,Varejo
ACC-00025,75,PR,5809.17,1063,185.07,Digital
ACC-00026,23,SP,12531.45,3625,710.07,Varejo
ACC-00027,24,SP,2407.7,1808,329.46,Varejo
ACC-00028,70,RS,9194.26,1781,459.78,Digital
ACC-00029,73,SP,1720.71,3207,198.83,Varejo
ACC-00030,71,RJ,4288.69,2937,637.9,Varejo
ACC-00031,73,PR,1789.7,1142,137.66,Varejo
ACC-00032,49,PE,9213.71,3452,889.8,Digital
ACC-00033,37,PR,6581.71,2342,302.58,Varejo
ACC-00034,49,RJ,8018.57,1721,447.46,Varejo
ACC-00035,29,GO,2152.54,1992,166.16,Alta renda
ACC-00036,59,SP,5972.74,3189,699.91,Varejo
ACC-00037,74,GO,2731.6,1057,247.24,Alta renda
ACC-00038,32,SP,2843.24,1793,397.13,Varejo
ACC-00039,51,RJ,5320.11,2965,670.06,Digital
ACC-00040,35,MG,6767.36,76,688.0,Digital
ACC-00041,40,SC,4371.55,4056,365.34,Digital
ACC-00042,18,RS,2544.8,915,255.67,Digital
ACC-00043,20,SP,2237.73,1224,187.14,Varejo
ACC-00044,28,SP,9786.96,4535,862.22,Varejo
ACC-00045,29,PR,5631.13,4624,372.34,Empresarial
ACC-00046,51,SP,6110.86,1749,293.9,Varejo
ACC-00047,42,SP,15823.75,1243,2455.44,Digital
ACC-00048,36,SP,2252.26,2622,70.69,Alta renda
ACC-00049,49,BA,20204.24,1696,643.4,Digital
ACC-00050,67,SP,29675.89,4050,1179.92,Alta renda
ACC-00051,32,RJ,10959.57,1995,865.3,Varejo
ACC-00052,66,PR,6552.61,3973,614.59,Varejo
ACC-00053,40,PE,2486.21,2771,164.67,Digital
ACC-00054,41,BA,7305.74,3891,916.14,Varejo
ACC-00055,63,PR,2870.52,4443,211.33,Digital
ACC-00056,60,BA,3774.14,1528,156.94,Varejo
ACC-00057,67,SP,3169.15,2374,262.5,Alta renda
ACC-00058,67,SP,4603.12,3125,391.26,Digital
ACC-00059,67,MG,8841.84,393,828.67,Varejo
ACC-00060,64,SP,2667.43,3770,173.94,Varejo
ACC-00061,51,MG,2017.24,2094,162.66,Alta renda
ACC-00062,74,DF,1994.36,3046,143.49,Varejo
ACC-00063,43,MG,2039.83,2508,100.9,Alta renda
ACC-00064,30,SP,1509.88,1905,110.51,Varejo
ACC-00065,26,RS,2114.54,730,236.86,Varejo
ACC-00066,53,MG,8871.71,3377,1390.72,Varejo
ACC-00067,41,MG,2602.81,73,238.18,Empresarial
ACC-00068,46,RS,4523.86,1498,410.59,Varejo
ACC-00069,33,SP,1735.44,805,108.66,Varejo
ACC-00070,18,SP,4273.86,2936,337.98,Varejo
ACC-00071,75,RS,1234.59,3215,180.43,Varejo
ACC-00072,61,RJ,2430.39,3586,126.12,Empresarial
ACC-00073,29,MG,16571.68,2273,1455.71,Digital
ACC-00074,23,GO,2620.37,2663,399.61,Varejo
ACC-00075,24,SP,7926.64,3487,951.96,Varejo
ACC-00076,29,SC,5145.02,3941,552.33,Varejo
ACC-00077,55,RS,3465.32,2351,341.84,Varejo
ACC-00078,62,SC,2505.22,1937,67.98,Empresarial
ACC-00079,33,SP,8835.13,3192,886.76,Varejo
ACC-00080,73,SP,3410.8,2882,246.97,Varejo
ACC-00081,50,RJ,10330.19,2945,467.63,Varejo
ACC-00082,61,GO,2398.5,2118,191.61,Varejo
ACC-00083,70,SP,3972.97,232,359.98,Digital
ACC-00084,70,SP,5180.07,4813,631.86,Varejo
ACC-00085,62,SP,4878.31,879,517.81,Varejo
ACC-00086,48,SP,1716.48,984,99.48,Alta renda
ACC-00087,21,SP,2485.82,3564,263.6,Digital
ACC-00088,47,PR,3369.81,1958,307.3,Varejo
ACC-00089,44,MG,2197.54,4855,177.15,Varejo
ACC-00090,35,RJ,5944.74,3509,644.23,Alta renda
ACC-00091,40,SP,5609.48,259,479.75,Alta renda
ACC-00092,22,SP,1072.66,4142,122.19,Varejo
ACC-00093,58,RJ,1183.92,3055,177.66,Digital
ACC-00094,28,SP,1664.01,4108,166.13,Varejo
ACC-00095,74,SP,4130.77,4418,458.24,Varejo
ACC-00096,31,MG,14350.82,1226,900.63,Digital
ACC-00097,42,PR,2985.34,333,208.89,Alta renda
ACC-00098,70,SC,4504.91,3495,186.78,Varejo
ACC-00099,75,MG,1917.88,3283,206.4,Varejo
ACC-00100,18,PR,1938.28,199,126.26,Varejo
ACC-00101,62,SC,1072.56,924,59.2,Digital
ACC-00102,43,SP,3757.75,3515,575.65,Varejo
ACC-00103,57,SP,7084.69,1811,509.55,Empresarial
ACC-00104,76,PR,3035.51,2386,180.64,Alta renda
ACC-00105,74,SP,9487.16,2860,592.84,Digital
ACC-00106,72,SP,4352.94,3810,484.97,Varejo
ACC-00107,43,SP,3738.1,482,352.26,Varejo
ACC-00108,24,RS,5357.3,671,546.51,Varejo
ACC-00109,23,SP,5254.27,4453,357.46,Alta renda
ACC-00110,62,SP,8071.33,1880,1237.54,Empresarial
ACC-00111,42,MG,2272.71,4964,156.26,Varejo
ACC-00112,70,SP,865.03,3833,35.0,Varejo
ACC-00113,48,SP,4124.03,1313,436.83,Varejo
ACC-00114,29,PR,2571.93,422,383.55,Alta renda
ACC-00115,51,MG,3760.6,2668,189.5,Varejo
ACC-00116,33,SP,11291.38,3969,518.48,Varejo
ACC-00117,49,RJ,1868.99,85,51.18,Varejo
ACC-00118,59,RJ,6292.53,1283,915.99,Varejo
ACC-00119,64,BA,7078.48,3303,687.33,Varejo
ACC-00120,63,SP,5164.06,4979,656.57,Varejo
ACC-00121,65,MG,7919.08,4308,1258.88,Varejo
ACC-00122,70,SP,2841.44,4010,373.77,Digital
ACC-00123,49,PE,2457.79,106,272.38,Digital
ACC-00124,41,SP,7520.13,3816,477.75,Alta renda
ACC-00125,67,SC,6113.14,4020,219.58,Varejo
ACC-00126,20,RS,9449.77,343,637.25,Digital
ACC-00127,56,PE,4393.97,606,130.55,Alta renda
ACC-00128,76,RJ,10996.32,1703,1533.17,Varejo
ACC-00129,44,RJ,3186.4,757,403.77,Digital
ACC-00130,33,BA,1921.36,3564,223.16,Varejo
ACC-00131,65,SP,1018.3,3704,103.85,Varejo
ACC-00132,64,SP,1870.74,889,204.0,Varejo
ACC-00133,40,PR,6516.07,3196,589.05,Varejo
ACC-00134,73,SP,1477.04,4428,50.73,Digital
ACC-00135,50,SP,2852.53,4367,451.29,Varejo
ACC-00136,50,MG,15052.2,4772,760.38,Varejo
ACC-00137,48,RJ,6637.01,3483,205.42,Varejo
ACC-00138,49,RS,12260.52,361,1159.57,Digital
ACC-00139,61,GO,2009.19,3504,82.4,Varejo
ACC-00140,32,BA,773.57,3371,58.82,Varejo
ACC-00141,45,RJ,10256.3,3018,1407.58,Digital
ACC-00142,21,RS,1523.84,4654,124.24,Alta renda
