transaction_id,timestamp,account_id,transaction_type,channel,amount,transaction_state,device_id,device_trusted,merchant_category,merchant_id,is_suspicious_simulated,suspicious_pattern
TX-0013544,2025-01-01 00:50:00,ACC-00418,Boleto,App,1804.35,RJ,DEV-00418-A,1,Eletronicos,MER-0549,1,Horario incomum
TX-0048199,2025-01-01 01:45:00,ACC-01527,PIX,Internet Banking,1181.44,RS,DEV-01527-A,1,Eletronicos,MER-0029,1,Horario incomum
TX-0048086,2025-01-01 01:58:00,ACC-01467,Cartao,E-commerce,616.9,SP,DEV-01467-A,1,Transporte,MER-0236,1,Horario incomum
TX-0005663,2025-01-01 02:38:38,ACC-00211,PIX,App,1282.46,GO,DEV-00211-A,1,Restaurante,MER-0054,0,Normal
TX-0039710,2025-01-01 04:44:22,ACC-01019,Transferencia,App,499.89,MG,DEV-01019-A,1,Servicos,MER-0632,0,Normal
TX-0011694,2025-01-01 04:53:00,ACC-01829,Cartao,Carteira digital,1036.13,SP,DEV-01829-A,1,Eletronicos,MER-0041,1,Horario incomum
TX-0033703,2025-01-01 05:28:03,ACC-02085,Cartao,POS,497.83,SP,DEV-02085-A,1,Mercado,MER-0062,0,Normal
TX-0042341,2025-01-01 05:45:31,ACC-00404,PIX,Internet Banking,367.9,DF,DEV-00404-A,1,Transporte,MER-0996,0,Normal
TX-0031828,2025-01-01 06:14:07,ACC-00651,Boleto,Internet Banking,472.02,SP,DEV-00651-A,1,Transporte,MER-0900,0,Normal
TX-0019384,2025-01-01 06:17:55,ACC-01524,Boleto,App,126.73,SP,NEW-2043893,0,Restaurante,MER-0341,0,Normal
TX-0048941,2025-01-01 06:37:48,ACC-01562,Transferencia,App,129.82,MG,DEV-01562-A,1,Restaurante,MER-0834,0,Normal
TX-0034394,2025-01-01 06:40:00,ACC-02496,Transferencia,App,550.81,MG,DEV-02496-A,1,Eletronicos,MER-0043,0,Normal
TX-0014774,2025-01-01 07:08:39,ACC-01888,Transferencia,App,120.19,SP,DEV-01888-A,1,Viagem,MER-0710,0,Normal
